56.066,56.024,56.027,55.741,55.474,55.496,56.069,56.262,,,,,,,,,,,,,
-4.64232808,-1.042727672,0,0.492626634,0.905008839,14.80121742,15.48111785,20.28704503,,,,,,,,,,,,,
J,T1,L,D1L,,D1L,L,T1,,,,,,,,,,,,,
55.642,55.515,55.498,54.545,53.782,53.646,53.648,54.565,55.955,55.995,,,,,,,,,,,
-19.55253267,-15.44997005,-12.31377023,-11.01636767,-9.343142565,-5.257881702,-3.079573509,-2.252908564,0,9.211539991,,,,,,,,,,,
J,J,T1,L,D1L,,D1L,L,T1,,,,,,,,,,,,
55.824,55.86,55.95,54.634,53.898,53.73,53.706,54.614,55.624,55.963,,,,,,,,,,,
-19.68460378,-14.50243335,-12.06072941,-9.24243139,-8.539736413,-5.381858509,-2.303719167,-1.396409682,0,10.03382963,,,,,,,,,,,
J,J,T1,L,D1L,,D1L,L,T1,,,,,,,,,,,,
56.184,56.155,56.183,54.608,53.891,53.726,53.715,54.604,55.68,55.844,55.798,,,,,,,,,,
-20.51101541,-15.66693834,-13.19622385,-8.997283145,-8.227104108,-4.998890277,-2.18937845,-1.15890034,0,0.972486504,11.4592066,,,,,,,,,,
J,J,T1,L,D1L,,D1L,L,T1,,,,,,,,,,,,
55.947,55.913,54.536,53.887,53.62,53.622,54.507,55.084,55.376,,,,,,,,,,,,
-17.67377673,-14.32623164,-8.44369232,-7.115461545,-3.980205146,-1.428118342,-0.719560977,0,11.50016113,,,,,,,,,,,,
J,T1,L,D1L,,D1L,L,T1,,,,,,,,,,,,,
55.084,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
55.649,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
55.545,55.518,54.379,53.645,53.542,53.729,54.43,55.685,55.762,,,,,,,,,,,,
-6.788017457,0,1.332401216,1.884989655,5.332637715,8.373931275,9.050874267,12.70053141,15.92090701,,,,,,,,,,,,
,T1,L,D1L,,D1L,L,T1,J,,,,,,,,,,,,
55.633,55.687,54.453,53.831,53.56,53.592,54.382,55.554,55.799,55.83,,,,,,,,,,,
-4.863420905,0,1.36903214,1.986599355,4.998828362,8.296047252,9.236837229,11.23057367,14.11289672,18.92327385,,,,,,,,,,,
,T1,L,D1L,,D1L,L,T1,J,J,,,,,,,,,,,
55.462,55.401,55.792,55.493,54.268,52.99,52.772,53.72,54.303,55.288,55.779,,,,,,,,,,
-7.273012649,-3.400419092,0,0.675624895,1.642145547,3.524620972,5.954826361,10.43026308,11.20434134,12.80586428,19.66435404,,,,,,,,,,
J,J,,T1,L,D1L,,D1L,L,T1,,,,,,,,,,,
55.89,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
