Id,Name,Description,X,Y,Z
4,P.6,T1,612644.82110623445,9141608.7132041715,58.341
5,P.6,L,612645.65697570867,9141609.0999382176,58.395
6,P.6,D1L,612645.77768215816,9141609.1557858046,56.059
7,P.6,D1L,612670.67043779092,9141620.6729860287,55.834
8,P.6,L,612670.84469071066,9141620.75360811,58.38
9,P.6,T1,612671.70960233815,9141621.15377917,58.404
10,P.6,,612672.285,9141621.42,58.505
11,P.6,,612673.4802661211,9141621.9730170891,58.495
12,P.6,J,612676.78653375886,9141623.5027370974,58.586
13,P.6,J,612681.23270591313,9141625.5598598886,58.361
14,P.6,,612684.57799894433,9141627.1076358836,58.356
0,P.7,,612606.0418887214,9141628.1589788683,58.627
1,P.7,,612612.125773475,9141629.8960094675,58.399
2,P.7,,612617.55482568289,9141631.4460766036,58.26
3,P.7,T1,612619.54432426917,9141632.014105102,58.185
4,P.7,L,612620.57801734807,9141632.3092383239,58.312
5,P.7,D1L,612620.79052541358,9141632.3699122239,56.616
6,P.7,D1L,612660.26221582817,9141643.6396086179,56.207
7,P.7,L,612660.39299002232,9141643.6769464016,58.269
8,P.7,T1,612661.80073575955,9141644.0788766686,58.183
9,P.7,,612663.696,9141644.62,58.291
10,P.7,,612666.76150096324,9141645.4952415917,58.33
11,P.7,J,612673.23386199959,9141647.3431873731,58.448
12,P.7,J,612677.39363526413,9141648.5308583677,58.358
13,P.7,,612681.93996166135,9141649.8288954571,58.222
0,P.8,,612599.37288664933,9141660.7425841987,58.702
1,P.8,,612605.64903610677,9141661.54313213,58.474
2,P.8,,612611.249658809,9141662.2575139236,58.335
3,P.8,T1,612613.302030111,9141662.51930208,58.26
4,P.8,L,612614.36839026061,9141662.6553205755,58.387
5,P.8,D1L,612614.58761406806,9141662.6832834482,56.691
6,P.8,D1L,612655.30670037738,9141667.8771655355,56.282
7,P.8,L,612655.44160733582,9141667.894373456,58.344
8,P.8,T1,612656.89384106523,9141668.0796116684,58.258
9,P.8,,612658.849,9141668.329,58.366
10,P.8,,612662.01137782051,9141668.7323739212,58.405
11,P.8,J,612668.68828030163,9141669.5840395,58.523
12,P.8,J,612672.97951193643,9141670.1314032339,58.433
13,P.8,,612677.669512669,9141670.7296315581,58.297
0,P.9,,612589.22754907422,9141675.1664932724,58.699
1,P.9,J,612584.87346532149,9141673.9272662252,58.694
2,P.9,J,612589.25544137124,9141675.174431771,58.679
3,P.9,,612592.2831983082,9141676.03616951,58.689
4,P.9,T1,612595.26959770115,9141676.8861363716,58.723
5,P.9,L,612595.89861709019,9141677.0651632082,58.292
6,P.9,D1L,612597.8385744415,9141677.6172994915,55.955
7,P.9,D1L,612653.32020052348,9141693.4080687035,55.846
8,P.9,T1L,612655.327484109,9141693.97936688,58.258
9,P.9,,612656.3152561466,9141694.2604992371,58.291
10,P.9,,612657.48,9141694.592,58.255
11,P.9,,612659.30742635962,9141695.1121085472,58.35
12,P.9,J,612661.73405620456,9141695.8027579486,58.34
13,P.9,J,612665.48508925852,9141696.8703491744,58.252
14,P.9,,612669.96420744632,9141698.1451625973,58.014
0,P.10,,612573.63035111187,9141676.853215402,58.421
1,P.10,J,612578.07457362255,9141679.2387598418,58.796
2,P.10,J,612581.439459778,9141681.0449442621,58.841
3,P.10,,612584.49684520857,9141682.6860701963,58.406
4,P.10,,612586.7524379181,9141683.8968144,58.307
5,P.10,T1L,612587.66877245647,9141684.3886792324,58.242
6,P.10,D1L,612589.26795244392,9141685.2470779568,55.528
7,P.10,D1L,612640.9095713119,9141712.9669719264,55.717
8,P.10,T1L,612642.6805640253,9141713.9175953045,58.2
9,P.10,,612644.54671455617,9141714.9192969557,58.387
10,P.10,,612645.908,9141715.65,58.378
11,P.10,,612647.00848253688,9141716.2407107465,58.387
12,P.10,J,612648.23055561818,9141716.8966881726,58.381
13,P.10,J,612652.19370249624,9141719.0240035765,58.358
14,P.10,,612655.88194901275,9141721.00375953,58.068
0,P.11,,612556.20829227893,9141696.9155999273,58.505
1,P.11,J,612561.4334855621,9141699.7259102575,58.567
2,P.11,J,612565.78766651463,9141702.0677565876,58.746
3,P.11,,612569.66715015064,9141704.1542924047,58.753
4,P.11,,612572.532067351,9141705.69515529,58.399
5,P.11,T1L,612575.48065105441,9141707.2810172476,58.209
6,P.11,D1L,612577.152219713,9141708.1800512951,55.645
7,P.11,D1L,612628.6414663177,9141735.8729525525,55.709
